dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
enron	proba__10	14.13 (0.21)	1.0 (0.0)	1.0 (0.0)	11.7 (0.16)	1.0 (0.0)	1.0 (0.0)	2.43 (0.07)	0.98 (0.04)	0.8 (0.45)	0.09 (0.01)	0.18 (0.18)	0.0 (0.0)	0.17 (0.01)	0.26 (0.3)	0.0 (0.0)	0.54 (0.01)	0.24 (0.22)	0.0 (0.0)	0.49 (0.02)	0.18 (0.18)	0.0 (0.0)	0.46 (0.02)	0.24 (0.22)	0.0 (0.0)	0.12 (0.01)	0.2 (0.22)	0.0 (0.0)	0.37 (0.01)	0.24 (0.22)	0.0 (0.0)	0.38 (0.02)	0.18 (0.18)	0.0 (0.0)	0.34 (0.01)	0.22 (0.22)	0.0 (0.0)	0.31 (0.02)	0.36 (0.23)	0.0 (0.0)	0.67 (0.02)	0.3 (0.23)	0.0 (0.0)	0.63 (0.03)	0.24 (0.26)	0.0 (0.0)	0.58 (0.02)	0.38 (0.22)	0.0 (0.0)	0.14 (0.01)	0.24 (0.21)	0.0 (0.0)	0.45 (0.02)	0.28 (0.27)	0.0 (0.0)	0.44 (0.02)	0.2 (0.22)	0.0 (0.0)	0.45 (0.02)	0.28 (0.27)	0.0 (0.0)
enron	proba__2	5.35 (0.07)	0.2 (0.0)	0.0 (0.0)	4.24 (0.08)	0.2 (0.0)	0.0 (0.0)	1.11 (0.05)	0.2 (0.0)	0.0 (0.0)	0.12 (0.02)	0.8 (0.16)	0.2 (0.45)	0.19 (0.01)	0.76 (0.21)	0.2 (0.45)	0.56 (0.01)	0.86 (0.17)	0.4 (0.55)	0.54 (0.01)	0.88 (0.11)	0.2 (0.45)	0.49 (0.01)	0.84 (0.21)	0.4 (0.55)	0.14 (0.0)	0.78 (0.22)	0.2 (0.45)	0.39 (0.01)	0.86 (0.17)	0.4 (0.55)	0.43 (0.01)	0.92 (0.08)	0.4 (0.55)	0.38 (0.01)	0.86 (0.17)	0.4 (0.55)	0.34 (0.02)	0.74 (0.17)	0.2 (0.45)	0.7 (0.02)	0.8 (0.14)	0.2 (0.45)	0.68 (0.01)	0.78 (0.19)	0.2 (0.45)	0.61 (0.02)	0.68 (0.28)	0.0 (0.0)	0.16 (0.01)	0.7 (0.22)	0.2 (0.45)	0.47 (0.01)	0.82 (0.2)	0.4 (0.55)	0.49 (0.01)	0.88 (0.11)	0.2 (0.45)	0.47 (0.01)	0.82 (0.2)	0.4 (0.55)
enron	proba__3	6.41 (0.11)	0.3 (0.0)	0.0 (0.0)	5.11 (0.17)	0.3 (0.0)	0.0 (0.0)	1.3 (0.07)	0.32 (0.04)	0.0 (0.0)	0.11 (0.01)	0.72 (0.13)	0.0 (0.0)	0.2 (0.01)	0.8 (0.16)	0.2 (0.45)	0.56 (0.01)	0.66 (0.23)	0.0 (0.0)	0.53 (0.01)	0.7 (0.2)	0.2 (0.45)	0.49 (0.01)	0.82 (0.13)	0.0 (0.0)	0.14 (0.01)	0.86 (0.09)	0.2 (0.45)	0.38 (0.01)	0.66 (0.23)	0.0 (0.0)	0.42 (0.01)	0.74 (0.19)	0.2 (0.45)	0.37 (0.01)	0.74 (0.18)	0.0 (0.0)	0.34 (0.04)	0.64 (0.35)	0.4 (0.55)	0.69 (0.02)	0.62 (0.29)	0.2 (0.45)	0.67 (0.01)	0.74 (0.24)	0.4 (0.55)	0.61 (0.02)	0.74 (0.33)	0.4 (0.55)	0.16 (0.01)	0.84 (0.11)	0.2 (0.45)	0.47 (0.01)	0.68 (0.23)	0.0 (0.0)	0.48 (0.01)	0.76 (0.21)	0.2 (0.45)	0.47 (0.01)	0.68 (0.23)	0.0 (0.0)
enron	proba__4	7.51 (0.2)	0.4 (0.0)	0.0 (0.0)	6.08 (0.24)	0.4 (0.0)	0.0 (0.0)	1.43 (0.05)	0.38 (0.04)	0.0 (0.0)	0.11 (0.01)	0.66 (0.29)	0.2 (0.45)	0.18 (0.01)	0.48 (0.18)	0.0 (0.0)	0.55 (0.0)	0.64 (0.15)	0.0 (0.0)	0.53 (0.0)	0.76 (0.05)	0.0 (0.0)	0.49 (0.01)	0.62 (0.13)	0.0 (0.0)	0.13 (0.01)	0.46 (0.21)	0.0 (0.0)	0.38 (0.0)	0.64 (0.15)	0.0 (0.0)	0.42 (0.01)	0.72 (0.15)	0.0 (0.0)	0.37 (0.01)	0.66 (0.11)	0.0 (0.0)	0.33 (0.02)	0.56 (0.3)	0.0 (0.0)	0.69 (0.01)	0.64 (0.15)	0.0 (0.0)	0.68 (0.01)	0.68 (0.11)	0.0 (0.0)	0.6 (0.01)	0.64 (0.11)	0.0 (0.0)	0.15 (0.01)	0.44 (0.21)	0.0 (0.0)	0.46 (0.01)	0.62 (0.24)	0.0 (0.0)	0.48 (0.01)	0.72 (0.08)	0.0 (0.0)	0.46 (0.01)	0.62 (0.24)	0.0 (0.0)
enron	proba__5	8.61 (0.17)	0.5 (0.0)	0.0 (0.0)	7.03 (0.17)	0.5 (0.0)	0.0 (0.0)	1.58 (0.02)	0.5 (0.0)	0.0 (0.0)	0.11 (0.01)	0.66 (0.25)	0.0 (0.0)	0.19 (0.01)	0.58 (0.35)	0.2 (0.45)	0.56 (0.01)	0.7 (0.25)	0.2 (0.45)	0.53 (0.01)	0.64 (0.24)	0.0 (0.0)	0.49 (0.01)	0.64 (0.23)	0.2 (0.45)	0.13 (0.01)	0.62 (0.27)	0.2 (0.45)	0.39 (0.01)	0.7 (0.25)	0.2 (0.45)	0.42 (0.01)	0.64 (0.19)	0.0 (0.0)	0.37 (0.01)	0.7 (0.29)	0.2 (0.45)	0.32 (0.03)	0.5 (0.34)	0.2 (0.45)	0.69 (0.02)	0.64 (0.29)	0.2 (0.45)	0.67 (0.01)	0.68 (0.27)	0.2 (0.45)	0.6 (0.02)	0.58 (0.34)	0.2 (0.45)	0.15 (0.01)	0.58 (0.3)	0.2 (0.45)	0.47 (0.02)	0.64 (0.21)	0.2 (0.45)	0.48 (0.01)	0.6 (0.24)	0.0 (0.0)	0.47 (0.02)	0.64 (0.21)	0.2 (0.45)
enron	proba__6	9.83 (0.22)	0.6 (0.0)	0.0 (0.0)	8.06 (0.29)	0.6 (0.0)	0.0 (0.0)	1.78 (0.07)	0.62 (0.04)	0.0 (0.0)	0.1 (0.01)	0.5 (0.31)	0.0 (0.0)	0.19 (0.01)	0.48 (0.29)	0.2 (0.45)	0.55 (0.01)	0.52 (0.31)	0.2 (0.45)	0.52 (0.02)	0.52 (0.31)	0.2 (0.45)	0.48 (0.02)	0.48 (0.39)	0.2 (0.45)	0.13 (0.01)	0.52 (0.28)	0.2 (0.45)	0.38 (0.01)	0.52 (0.31)	0.2 (0.45)	0.41 (0.02)	0.52 (0.31)	0.2 (0.45)	0.36 (0.02)	0.5 (0.33)	0.2 (0.45)	0.32 (0.03)	0.54 (0.32)	0.2 (0.45)	0.68 (0.02)	0.46 (0.45)	0.2 (0.45)	0.66 (0.03)	0.5 (0.3)	0.0 (0.0)	0.6 (0.03)	0.54 (0.39)	0.2 (0.45)	0.15 (0.01)	0.56 (0.19)	0.0 (0.0)	0.46 (0.01)	0.52 (0.31)	0.0 (0.0)	0.47 (0.02)	0.56 (0.34)	0.2 (0.45)	0.46 (0.01)	0.52 (0.31)	0.0 (0.0)
enron	proba__7	10.86 (0.23)	0.7 (0.0)	0.0 (0.0)	8.96 (0.23)	0.7 (0.0)	0.0 (0.0)	1.9 (0.08)	0.68 (0.04)	0.0 (0.0)	0.1 (0.01)	0.4 (0.12)	0.0 (0.0)	0.18 (0.02)	0.44 (0.26)	0.0 (0.0)	0.54 (0.01)	0.38 (0.31)	0.0 (0.0)	0.51 (0.02)	0.36 (0.17)	0.0 (0.0)	0.47 (0.01)	0.38 (0.27)	0.0 (0.0)	0.12 (0.01)	0.38 (0.28)	0.0 (0.0)	0.37 (0.01)	0.38 (0.31)	0.0 (0.0)	0.4 (0.01)	0.36 (0.11)	0.0 (0.0)	0.35 (0.01)	0.38 (0.22)	0.0 (0.0)	0.32 (0.03)	0.54 (0.34)	0.0 (0.0)	0.68 (0.01)	0.48 (0.33)	0.2 (0.45)	0.66 (0.02)	0.5 (0.25)	0.0 (0.0)	0.59 (0.03)	0.42 (0.28)	0.0 (0.0)	0.14 (0.01)	0.44 (0.33)	0.0 (0.0)	0.45 (0.02)	0.4 (0.35)	0.2 (0.45)	0.46 (0.02)	0.42 (0.25)	0.0 (0.0)	0.45 (0.02)	0.4 (0.35)	0.2 (0.45)
enron	proba__8	11.91 (0.27)	0.8 (0.0)	0.0 (0.0)	9.92 (0.27)	0.8 (0.0)	0.0 (0.0)	1.99 (0.02)	0.8 (0.0)	0.0 (0.0)	0.09 (0.0)	0.34 (0.09)	0.0 (0.0)	0.18 (0.01)	0.5 (0.22)	0.0 (0.0)	0.55 (0.01)	0.52 (0.3)	0.0 (0.0)	0.51 (0.01)	0.38 (0.19)	0.0 (0.0)	0.48 (0.02)	0.46 (0.3)	0.0 (0.0)	0.13 (0.01)	0.48 (0.22)	0.0 (0.0)	0.38 (0.01)	0.52 (0.3)	0.0 (0.0)	0.4 (0.01)	0.38 (0.19)	0.0 (0.0)	0.36 (0.01)	0.44 (0.29)	0.0 (0.0)	0.33 (0.04)	0.64 (0.32)	0.0 (0.0)	0.68 (0.01)	0.44 (0.21)	0.0 (0.0)	0.65 (0.01)	0.34 (0.17)	0.0 (0.0)	0.6 (0.02)	0.54 (0.34)	0.0 (0.0)	0.15 (0.01)	0.54 (0.29)	0.0 (0.0)	0.46 (0.01)	0.56 (0.27)	0.0 (0.0)	0.46 (0.01)	0.38 (0.19)	0.0 (0.0)	0.46 (0.01)	0.56 (0.27)	0.0 (0.0)
enron	proba__9	12.99 (0.39)	0.9 (0.0)	0.0 (0.0)	10.77 (0.28)	0.9 (0.0)	0.0 (0.0)	2.22 (0.16)	0.92 (0.04)	0.2 (0.45)	0.09 (0.01)	0.3 (0.12)	0.0 (0.0)	0.18 (0.01)	0.4 (0.34)	0.0 (0.0)	0.55 (0.01)	0.38 (0.2)	0.0 (0.0)	0.51 (0.0)	0.28 (0.08)	0.0 (0.0)	0.47 (0.01)	0.36 (0.19)	0.0 (0.0)	0.13 (0.01)	0.46 (0.32)	0.0 (0.0)	0.38 (0.0)	0.38 (0.2)	0.0 (0.0)	0.4 (0.0)	0.26 (0.09)	0.0 (0.0)	0.35 (0.01)	0.34 (0.21)	0.0 (0.0)	0.31 (0.02)	0.32 (0.23)	0.0 (0.0)	0.68 (0.01)	0.48 (0.29)	0.0 (0.0)	0.64 (0.01)	0.24 (0.11)	0.0 (0.0)	0.59 (0.01)	0.36 (0.18)	0.0 (0.0)	0.15 (0.01)	0.44 (0.36)	0.2 (0.45)	0.46 (0.01)	0.48 (0.2)	0.0 (0.0)	0.46 (0.0)	0.28 (0.08)	0.0 (0.0)	0.46 (0.01)	0.48 (0.2)	0.0 (0.0)
genbase	proba__1	3.07 (0.04)	0.1 (0.0)	0.0 (0.0)	2.51 (0.04)	0.1 (0.0)	0.0 (0.0)	0.56 (0.01)	0.1 (0.0)	0.0 (0.0)	0.98 (0.01)	0.72 (0.21)	0.0 (0.0)	0.98 (0.01)	0.67 (0.2)	0.0 (0.0)	0.99 (0.0)	0.75 (0.18)	0.0 (0.0)	0.99 (0.01)	0.59 (0.35)	0.0 (0.0)	0.99 (0.01)	0.73 (0.16)	0.0 (0.0)	0.97 (0.02)	0.69 (0.17)	0.0 (0.0)	0.98 (0.01)	0.75 (0.18)	0.0 (0.0)	0.99 (0.01)	0.67 (0.2)	0.0 (0.0)	0.98 (0.01)	0.77 (0.18)	0.0 (0.0)	1.0 (0.0)	0.61 (0.18)	0.0 (0.0)	1.0 (0.0)	0.59 (0.17)	0.0 (0.0)	0.99 (0.01)	0.51 (0.33)	0.0 (0.0)	1.0 (0.0)	0.59 (0.22)	0.0 (0.0)	0.97 (0.02)	0.65 (0.22)	0.0 (0.0)	0.98 (0.01)	0.74 (0.19)	0.0 (0.0)	0.99 (0.01)	0.67 (0.23)	0.0 (0.0)	0.98 (0.01)	0.74 (0.19)	0.0 (0.0)
genbase	proba__10	13.59 (0.14)	1.0 (0.0)	1.0 (0.0)	11.64 (0.17)	1.0 (0.0)	1.0 (0.0)	1.95 (0.1)	1.0 (0.0)	1.0 (0.0)	0.97 (0.01)	0.38 (0.21)	0.0 (0.0)	0.96 (0.02)	0.36 (0.26)	0.0 (0.0)	0.98 (0.01)	0.32 (0.28)	0.0 (0.0)	0.98 (0.0)	0.44 (0.34)	0.0 (0.0)	0.98 (0.01)	0.32 (0.28)	0.0 (0.0)	0.94 (0.02)	0.34 (0.27)	0.0 (0.0)	0.97 (0.01)	0.32 (0.28)	0.0 (0.0)	0.98 (0.01)	0.42 (0.31)	0.0 (0.0)	0.97 (0.01)	0.34 (0.26)	0.0 (0.0)	0.98 (0.03)	0.47 (0.3)	0.0 (0.0)	1.0 (0.01)	0.46 (0.29)	0.0 (0.0)	0.99 (0.01)	0.46 (0.37)	0.2 (0.45)	0.99 (0.01)	0.47 (0.3)	0.0 (0.0)	0.94 (0.02)	0.4 (0.29)	0.0 (0.0)	0.97 (0.01)	0.41 (0.24)	0.0 (0.0)	0.98 (0.01)	0.44 (0.27)	0.0 (0.0)	0.97 (0.01)	0.41 (0.24)	0.0 (0.0)
genbase	proba__2	4.21 (0.08)	0.2 (0.0)	0.0 (0.0)	3.51 (0.1)	0.2 (0.0)	0.0 (0.0)	0.7 (0.03)	0.2 (0.0)	0.0 (0.0)	0.98 (0.01)	0.61 (0.24)	0.0 (0.0)	0.98 (0.02)	0.58 (0.36)	0.2 (0.45)	0.99 (0.0)	0.58 (0.26)	0.0 (0.0)	0.98 (0.01)	0.53 (0.31)	0.0 (0.0)	0.99 (0.01)	0.62 (0.26)	0.0 (0.0)	0.96 (0.02)	0.58 (0.34)	0.2 (0.45)	0.98 (0.01)	0.58 (0.26)	0.0 (0.0)	0.98 (0.01)	0.54 (0.27)	0.0 (0.0)	0.98 (0.01)	0.58 (0.26)	0.0 (0.0)	1.0 (0.0)	0.6 (0.23)	0.0 (0.0)	1.0 (0.0)	0.58 (0.22)	0.0 (0.0)	0.99 (0.01)	0.42 (0.3)	0.0 (0.0)	1.0 (0.0)	0.6 (0.23)	0.0 (0.0)	0.96 (0.02)	0.54 (0.34)	0.0 (0.0)	0.98 (0.01)	0.52 (0.29)	0.0 (0.0)	0.98 (0.01)	0.52 (0.27)	0.0 (0.0)	0.98 (0.01)	0.52 (0.29)	0.0 (0.0)
genbase	proba__3	5.21 (0.03)	0.3 (0.0)	0.0 (0.0)	4.35 (0.02)	0.3 (0.0)	0.0 (0.0)	0.86 (0.01)	0.3 (0.0)	0.0 (0.0)	0.98 (0.01)	0.71 (0.28)	0.2 (0.45)	0.98 (0.02)	0.63 (0.35)	0.0 (0.0)	0.99 (0.01)	0.68 (0.36)	0.2 (0.45)	0.99 (0.01)	0.65 (0.37)	0.2 (0.45)	0.99 (0.01)	0.67 (0.36)	0.2 (0.45)	0.96 (0.03)	0.63 (0.35)	0.0 (0.0)	0.98 (0.01)	0.69 (0.34)	0.2 (0.45)	0.99 (0.01)	0.66 (0.36)	0.2 (0.45)	0.98 (0.01)	0.67 (0.36)	0.2 (0.45)	1.0 (0.0)	0.62 (0.13)	0.0 (0.0)	1.0 (0.0)	0.6 (0.12)	0.0 (0.0)	0.99 (0.01)	0.6 (0.33)	0.0 (0.0)	1.0 (0.0)	0.62 (0.13)	0.0 (0.0)	0.97 (0.03)	0.63 (0.38)	0.2 (0.45)	0.98 (0.01)	0.67 (0.36)	0.2 (0.45)	0.99 (0.01)	0.64 (0.36)	0.2 (0.45)	0.98 (0.01)	0.67 (0.36)	0.2 (0.45)
genbase	proba__4	6.6 (0.1)	0.4 (0.0)	0.0 (0.0)	5.58 (0.06)	0.4 (0.0)	0.0 (0.0)	1.02 (0.05)	0.4 (0.0)	0.0 (0.0)	0.98 (0.01)	0.55 (0.3)	0.0 (0.0)	0.98 (0.01)	0.56 (0.25)	0.0 (0.0)	0.99 (0.01)	0.54 (0.3)	0.0 (0.0)	0.99 (0.01)	0.49 (0.36)	0.2 (0.45)	0.99 (0.01)	0.54 (0.27)	0.0 (0.0)	0.96 (0.02)	0.54 (0.26)	0.0 (0.0)	0.98 (0.01)	0.53 (0.31)	0.0 (0.0)	0.98 (0.01)	0.51 (0.32)	0.0 (0.0)	0.98 (0.01)	0.52 (0.28)	0.0 (0.0)	1.0 (0.0)	0.58 (0.27)	0.0 (0.0)	1.0 (0.0)	0.56 (0.26)	0.0 (0.0)	0.99 (0.01)	0.39 (0.33)	0.0 (0.0)	1.0 (0.0)	0.58 (0.27)	0.0 (0.0)	0.96 (0.02)	0.53 (0.21)	0.0 (0.0)	0.98 (0.01)	0.5 (0.24)	0.0 (0.0)	0.98 (0.01)	0.5 (0.33)	0.0 (0.0)	0.98 (0.01)	0.5 (0.24)	0.0 (0.0)
genbase	proba__5	7.65 (0.13)	0.5 (0.0)	0.0 (0.0)	6.49 (0.09)	0.5 (0.0)	0.0 (0.0)	1.16 (0.04)	0.5 (0.0)	0.0 (0.0)	0.97 (0.02)	0.4 (0.42)	0.2 (0.45)	0.95 (0.04)	0.42 (0.41)	0.2 (0.45)	0.99 (0.01)	0.41 (0.4)	0.2 (0.45)	0.99 (0.01)	0.54 (0.4)	0.2 (0.45)	0.98 (0.01)	0.44 (0.43)	0.2 (0.45)	0.94 (0.04)	0.4 (0.39)	0.2 (0.45)	0.97 (0.02)	0.41 (0.4)	0.2 (0.45)	0.98 (0.01)	0.49 (0.43)	0.2 (0.45)	0.97 (0.02)	0.4 (0.42)	0.2 (0.45)	0.97 (0.04)	0.35 (0.3)	0.0 (0.0)	1.0 (0.0)	0.56 (0.2)	0.0 (0.0)	0.99 (0.01)	0.51 (0.38)	0.2 (0.45)	0.99 (0.01)	0.35 (0.3)	0.0 (0.0)	0.94 (0.04)	0.44 (0.43)	0.2 (0.45)	0.97 (0.02)	0.44 (0.47)	0.2 (0.45)	0.98 (0.01)	0.47 (0.44)	0.2 (0.45)	0.97 (0.02)	0.44 (0.47)	0.2 (0.45)
genbase	proba__6	8.93 (0.14)	0.6 (0.0)	0.0 (0.0)	7.59 (0.09)	0.6 (0.0)	0.0 (0.0)	1.35 (0.05)	0.6 (0.0)	0.0 (0.0)	0.98 (0.01)	0.53 (0.3)	0.2 (0.45)	0.96 (0.04)	0.58 (0.29)	0.0 (0.0)	0.99 (0.01)	0.58 (0.33)	0.2 (0.45)	0.99 (0.0)	0.6 (0.21)	0.0 (0.0)	0.99 (0.01)	0.56 (0.3)	0.0 (0.0)	0.95 (0.05)	0.56 (0.3)	0.0 (0.0)	0.98 (0.02)	0.58 (0.33)	0.2 (0.45)	0.98 (0.01)	0.56 (0.28)	0.2 (0.45)	0.98 (0.02)	0.6 (0.29)	0.2 (0.45)	0.98 (0.04)	0.56 (0.26)	0.0 (0.0)	1.0 (0.0)	0.54 (0.25)	0.0 (0.0)	0.99 (0.0)	0.65 (0.12)	0.0 (0.0)	1.0 (0.01)	0.56 (0.26)	0.0 (0.0)	0.95 (0.05)	0.54 (0.3)	0.0 (0.0)	0.98 (0.02)	0.6 (0.29)	0.2 (0.45)	0.99 (0.01)	0.57 (0.27)	0.2 (0.45)	0.98 (0.02)	0.6 (0.29)	0.2 (0.45)
genbase	proba__7	10.13 (0.11)	0.7 (0.0)	0.0 (0.0)	8.63 (0.09)	0.7 (0.0)	0.0 (0.0)	1.5 (0.03)	0.7 (0.0)	0.0 (0.0)	0.98 (0.01)	0.6 (0.31)	0.2 (0.45)	0.97 (0.02)	0.6 (0.34)	0.2 (0.45)	0.99 (0.01)	0.56 (0.28)	0.2 (0.45)	0.99 (0.01)	0.54 (0.32)	0.2 (0.45)	0.99 (0.01)	0.54 (0.29)	0.2 (0.45)	0.96 (0.03)	0.64 (0.33)	0.2 (0.45)	0.98 (0.01)	0.56 (0.28)	0.2 (0.45)	0.98 (0.01)	0.56 (0.34)	0.2 (0.45)	0.98 (0.01)	0.55 (0.28)	0.2 (0.45)	1.0 (0.01)	0.6 (0.23)	0.0 (0.0)	1.0 (0.0)	0.57 (0.27)	0.0 (0.0)	0.99 (0.01)	0.61 (0.24)	0.0 (0.0)	1.0 (0.0)	0.6 (0.23)	0.0 (0.0)	0.96 (0.03)	0.6 (0.27)	0.2 (0.45)	0.98 (0.01)	0.53 (0.28)	0.2 (0.45)	0.99 (0.01)	0.58 (0.31)	0.2 (0.45)	0.98 (0.01)	0.53 (0.28)	0.2 (0.45)
genbase	proba__8	11.18 (0.18)	0.8 (0.0)	0.0 (0.0)	9.55 (0.12)	0.8 (0.0)	0.0 (0.0)	1.63 (0.07)	0.8 (0.0)	0.0 (0.0)	0.98 (0.02)	0.51 (0.33)	0.0 (0.0)	0.98 (0.02)	0.6 (0.28)	0.2 (0.45)	0.99 (0.01)	0.57 (0.27)	0.0 (0.0)	0.99 (0.01)	0.6 (0.21)	0.0 (0.0)	0.99 (0.01)	0.58 (0.3)	0.2 (0.45)	0.96 (0.02)	0.6 (0.29)	0.2 (0.45)	0.98 (0.01)	0.57 (0.27)	0.0 (0.0)	0.99 (0.01)	0.58 (0.26)	0.0 (0.0)	0.98 (0.01)	0.57 (0.27)	0.0 (0.0)	1.0 (0.0)	0.6 (0.17)	0.0 (0.0)	1.0 (0.0)	0.58 (0.16)	0.0 (0.0)	0.99 (0.0)	0.71 (0.14)	0.0 (0.0)	1.0 (0.0)	0.6 (0.17)	0.0 (0.0)	0.97 (0.02)	0.6 (0.34)	0.2 (0.45)	0.98 (0.01)	0.57 (0.29)	0.0 (0.0)	0.99 (0.01)	0.6 (0.29)	0.0 (0.0)	0.98 (0.01)	0.57 (0.29)	0.0 (0.0)
genbase	proba__9	12.33 (0.23)	0.9 (0.0)	0.0 (0.0)	10.54 (0.17)	0.9 (0.0)	0.0 (0.0)	1.78 (0.06)	0.9 (0.0)	0.0 (0.0)	0.97 (0.02)	0.49 (0.28)	0.0 (0.0)	0.97 (0.02)	0.5 (0.24)	0.0 (0.0)	0.99 (0.01)	0.51 (0.21)	0.0 (0.0)	0.99 (0.01)	0.52 (0.16)	0.0 (0.0)	0.98 (0.01)	0.5 (0.24)	0.0 (0.0)	0.95 (0.04)	0.52 (0.24)	0.0 (0.0)	0.97 (0.02)	0.51 (0.21)	0.0 (0.0)	0.98 (0.01)	0.51 (0.27)	0.0 (0.0)	0.97 (0.02)	0.5 (0.26)	0.0 (0.0)	1.0 (0.01)	0.51 (0.24)	0.0 (0.0)	1.0 (0.0)	0.46 (0.29)	0.0 (0.0)	0.99 (0.0)	0.64 (0.24)	0.0 (0.0)	1.0 (0.0)	0.53 (0.21)	0.0 (0.0)	0.95 (0.04)	0.57 (0.24)	0.0 (0.0)	0.98 (0.02)	0.52 (0.29)	0.0 (0.0)	0.98 (0.01)	0.51 (0.27)	0.0 (0.0)	0.98 (0.02)	0.52 (0.29)	0.0 (0.0)
medical	proba__1	2.84 (0.04)	0.1 (0.0)	0.0 (0.0)	2.31 (0.04)	0.1 (0.0)	0.0 (0.0)	0.53 (0.01)	0.1 (0.0)	0.0 (0.0)	0.51 (0.01)	0.91 (0.02)	0.0 (0.0)	0.4 (0.02)	0.6 (0.19)	0.0 (0.0)	0.68 (0.02)	0.88 (0.11)	0.2 (0.45)	0.54 (0.02)	0.86 (0.21)	0.4 (0.55)	0.62 (0.02)	0.82 (0.16)	0.2 (0.45)	0.31 (0.02)	0.62 (0.23)	0.0 (0.0)	0.51 (0.02)	0.88 (0.11)	0.2 (0.45)	0.52 (0.01)	0.89 (0.16)	0.6 (0.55)	0.5 (0.02)	0.9 (0.07)	0.2 (0.45)	0.59 (0.04)	0.46 (0.18)	0.0 (0.0)	0.89 (0.03)	0.54 (0.25)	0.0 (0.0)	0.57 (0.02)	0.85 (0.17)	0.2 (0.45)	0.78 (0.03)	0.52 (0.26)	0.0 (0.0)	0.32 (0.02)	0.72 (0.18)	0.0 (0.0)	0.54 (0.02)	0.83 (0.17)	0.2 (0.45)	0.53 (0.02)	0.91 (0.15)	0.6 (0.55)	0.54 (0.02)	0.83 (0.17)	0.2 (0.45)
medical	proba__10	12.47 (0.12)	1.0 (0.0)	1.0 (0.0)	10.37 (0.08)	1.0 (0.0)	1.0 (0.0)	2.1 (0.12)	1.0 (0.0)	1.0 (0.0)	0.44 (0.05)	0.35 (0.24)	0.0 (0.0)	0.39 (0.05)	0.56 (0.3)	0.2 (0.45)	0.62 (0.05)	0.42 (0.22)	0.0 (0.0)	0.48 (0.05)	0.42 (0.26)	0.0 (0.0)	0.57 (0.04)	0.46 (0.27)	0.0 (0.0)	0.29 (0.04)	0.5 (0.32)	0.2 (0.45)	0.45 (0.05)	0.42 (0.22)	0.0 (0.0)	0.46 (0.04)	0.39 (0.24)	0.0 (0.0)	0.44 (0.04)	0.44 (0.24)	0.0 (0.0)	0.61 (0.06)	0.54 (0.32)	0.2 (0.45)	0.87 (0.02)	0.26 (0.18)	0.0 (0.0)	0.51 (0.06)	0.44 (0.28)	0.0 (0.0)	0.77 (0.03)	0.46 (0.27)	0.0 (0.0)	0.31 (0.04)	0.56 (0.32)	0.2 (0.45)	0.48 (0.05)	0.5 (0.31)	0.0 (0.0)	0.46 (0.05)	0.4 (0.23)	0.0 (0.0)	0.48 (0.05)	0.5 (0.31)	0.0 (0.0)
